nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
Avik-Jain/100-Days-Of-ML-Code,2018-07-05T09:11:43Z,2022-08-25T11:47:25Z,0,,6,0,0
Alamofire/Alamofire,2014-07-31T05:56:19Z,2022-08-25T14:01:22Z,91,Swift,557,2641,2610
supabase/supabase,2019-10-12T05:56:49Z,2022-08-25T14:26:40Z,19,TypeScript,2623,1409,1197
apache/dubbo,2012-06-19T07:56:02Z,2022-08-25T13:58:38Z,54,Java,3397,5389,4957
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,2022-08-25T13:59:18Z,21,CSS,189,593,351
Unitech/pm2,2013-05-21T03:25:25Z,2022-08-25T14:14:18Z,118,JavaScript,530,4583,3969
Eugeny/tabby,2016-12-23T09:06:10Z,2022-08-25T14:37:04Z,162,TypeScript,1274,3537,2524
pixijs/pixijs,2013-01-21T22:40:50Z,2022-08-25T13:57:50Z,160,TypeScript,2423,4897,4808
styled-components/styled-components,2016-08-16T06:41:32Z,2022-08-25T14:14:04Z,118,TypeScript,841,2574,2468
facebook/docusaurus,2017-06-20T16:13:53Z,2022-08-25T13:36:01Z,121,TypeScript,4364,2344,2160
chinese-poetry/chinese-poetry,2016-09-02T03:32:25Z,2022-08-25T14:34:46Z,1,JavaScript,121,162,80
dcloudio/uni-app,2018-07-12T08:52:39Z,2022-08-25T12:02:29Z,0,JavaScript,203,3486,2482
impress/impress.js,2011-12-28T22:23:19Z,2022-08-24T20:37:45Z,15,JavaScript,107,458,407
sharkdp/bat,2018-04-21T10:52:23Z,2022-08-25T14:35:04Z,36,Rust,1004,1091,947
tiimgreen/github-cheat-sheet,2014-04-12T16:38:42Z,2022-08-25T14:28:56Z,0,,129,51,41
FreeCodeCampChina/freecodecamp.cn,2016-09-30T03:13:43Z,2022-08-25T09:37:14Z,0,CSS,55,585,445
FiloSottile/mkcert,2018-06-25T05:33:03Z,2022-08-25T14:06:05Z,14,Go,52,297,223
huginn/huginn,2013-03-10T06:00:31Z,2022-08-25T14:01:05Z,1,Ruby,923,1968,1418
Alvin9999/new-pac,2016-03-23T08:43:36Z,2022-08-25T14:17:31Z,0,,0,1245,951
discourse/discourse,2013-01-12T00:25:55Z,2022-08-25T07:01:46Z,0,Ruby,15324,0,0
CorentinJ/Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,2022-08-25T14:24:09Z,0,Python,48,906,839
typescript-cheatsheets/react,2018-06-02T04:08:16Z,2022-08-25T14:32:57Z,0,JavaScript,290,169,167
GitSquared/edex-ui,2017-01-28T09:35:02Z,2022-08-25T12:55:35Z,29,JavaScript,399,559,553
fastlane/fastlane,2014-12-02T17:00:38Z,2022-08-25T07:09:00Z,525,Ruby,5935,12221,12081
commaai/openpilot,2016-11-24T01:33:30Z,2022-08-25T14:07:36Z,46,Python,4931,1751,1576
jakevdp/PythonDataScienceHandbook,2016-08-10T14:24:36Z,2022-08-25T14:11:31Z,0,Jupyter Notebook,28,161,66
PhilJay/MPAndroidChart,2014-04-25T14:29:47Z,2022-08-25T14:24:45Z,44,Java,190,4829,2861
Leaflet/Leaflet,2010-09-22T16:57:44Z,2022-08-25T14:30:12Z,26,JavaScript,2500,4882,4511
ngosang/trackerslist,2016-04-24T11:57:57Z,2022-08-25T14:38:39Z,0,,1,339,336
marktext/marktext,2017-11-12T16:05:25Z,2022-08-25T13:35:00Z,36,JavaScript,930,2371,1547
grpc/grpc,2014-12-08T18:58:53Z,2022-08-25T13:57:13Z,206,C++,16165,10353,9686
hexojs/hexo,2012-09-23T15:17:08Z,2022-08-25T10:58:45Z,106,JavaScript,790,3800,3727
isocpp/CppCoreGuidelines,2015-08-19T20:22:52Z,2022-08-25T13:54:53Z,4,Python,731,1011,817
vuetifyjs/vuetify,2016-09-12T00:39:35Z,2022-08-25T14:16:49Z,435,TypeScript,3066,11082,10058
pandas-dev/pandas,2010-08-24T01:37:33Z,2022-08-25T14:22:43Z,87,Python,19587,22901,19529
sherlock-project/sherlock,2018-12-24T14:30:48Z,2022-08-25T10:42:10Z,0,Python,430,661,583
yangshun/front-end-interview-handbook,2018-01-13T19:40:08Z,2022-08-25T14:08:03Z,0,JavaScript,216,83,66
Fndroid/clash_for_windows_pkg,2018-10-18T22:59:10Z,2022-08-25T14:22:38Z,172,,4,3083,2925
dypsilon/frontend-dev-bookmarks,2013-06-22T13:23:55Z,2022-08-25T14:29:54Z,1,,129,97,79
faif/python-patterns,2012-06-06T21:02:35Z,2022-08-25T10:17:00Z,0,Python,260,80,69
PowerShell/PowerShell,2016-01-13T23:41:35Z,2022-08-25T14:32:19Z,124,C#,5615,10373,7199
alex/what-happens-when,2013-11-07T04:30:06Z,2022-08-25T13:07:06Z,0,,108,112,20
kamranahmedse/design-patterns-for-humans,2017-02-16T21:24:39Z,2022-08-25T14:26:19Z,0,,47,52,44
minio/minio,2015-01-14T19:23:58Z,2022-08-25T14:36:29Z,353,Go,7477,6130,6116
nodejs/node-v0.x-archive,2009-05-27T16:29:46Z,2022-08-22T11:35:57Z,0,,218,6380,5845
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,2022-08-25T14:23:37Z,15,Python,984,0,0
slatedocs/slate,2013-09-13T22:15:24Z,2022-08-25T08:30:07Z,27,SCSS,282,591,549
iperov/DeepFaceLab,2018-06-04T13:10:00Z,2022-08-25T14:37:50Z,2,Python,32,1179,739
rclone/rclone,2014-03-16T16:19:57Z,2022-08-25T13:31:05Z,85,Go,1323,4536,3813
php/php-src,2011-06-16T01:52:25Z,2022-08-25T11:29:57Z,0,C,1268,748,553
golang-standards/project-layout,2017-09-09T16:33:26Z,2022-08-25T14:08:28Z,0,Makefile,49,90,27
0voice/interview_internal_reference,2019-06-10T06:54:19Z,2022-08-25T12:52:04Z,0,Python,35,45,18
alvarotrigo/fullPage.js,2013-09-20T11:58:29Z,2022-08-25T14:26:45Z,79,JavaScript,286,3924,3767
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,2022-08-25T14:16:25Z,22,Java,301,3308,2133
hashicorp/terraform,2014-03-13T22:25:48Z,2022-08-25T12:06:28Z,220,Go,10173,18916,17397
videojs/video.js,2010-05-14T18:45:10Z,2022-08-25T11:17:05Z,268,JavaScript,1530,4817,4493
apachecn/ailearning,2017-02-25T08:53:02Z,2022-08-25T14:02:37Z,2,Python,468,103,101
google/zx,2021-05-05T05:50:01Z,2022-08-25T13:54:48Z,52,JavaScript,95,264,255
apache/spark,2014-02-25T08:00:08Z,2022-08-25T12:58:02Z,0,Scala,5,0,0
adobe/brackets,2011-12-07T21:14:40Z,2022-08-25T03:12:46Z,69,JavaScript,4333,9687,7067
sahat/hackathon-starter,2013-11-13T17:24:12Z,2022-08-25T13:39:12Z,14,JavaScript,305,603,600
quilljs/quill,2012-07-30T23:23:18Z,2022-08-25T14:17:03Z,82,JavaScript,223,3073,1895
lerna/lerna,2015-12-04T09:36:55Z,2022-08-25T11:53:27Z,185,JavaScript,676,2278,1906
wagoodman/dive,2018-05-13T15:44:01Z,2022-08-25T14:37:07Z,24,Go,115,260,144
AFNetworking/AFNetworking,2011-05-31T21:28:44Z,2022-08-25T12:57:19Z,40,Objective-C,709,3137,3059
akullpp/awesome-java,2014-07-09T10:12:43Z,2022-08-25T13:58:47Z,0,,614,113,110
shadowsocks/shadowsocks,2012-04-20T13:10:49Z,2022-08-25T09:19:26Z,2,Python,70,0,0
Homebrew/brew,2016-03-06T05:08:38Z,2022-08-25T13:10:40Z,264,Ruby,8198,3623,3594
agalwood/Motrix,2018-12-18T11:45:05Z,2022-08-25T14:11:51Z,14,JavaScript,144,1037,483
airbnb/lottie-android,2016-10-06T22:42:42Z,2022-08-25T14:08:34Z,43,Java,552,1463,1435
floodsung/Deep-Learning-Papers-Reading-Roadmap,2016-10-14T11:49:48Z,2022-08-25T14:19:06Z,0,Python,28,49,4
koajs/koa,2013-07-20T18:53:45Z,2022-08-25T11:38:43Z,0,JavaScript,449,870,843
evanw/esbuild,2016-06-14T16:08:50Z,2022-08-25T12:57:50Z,191,Go,191,2155,1878
bumptech/glide,2013-07-08T22:52:33Z,2022-08-25T08:35:41Z,39,Java,407,4142,3758
RocketChat/Rocket.Chat,2015-05-19T07:36:09Z,2022-08-25T07:20:46Z,684,TypeScript,8952,14501,11664
exacity/deeplearningbook-chinese,2016-12-07T11:46:51Z,2022-08-25T09:54:17Z,7,TeX,16,197,137
BVLC/caffe,2013-09-12T18:39:48Z,2022-08-25T02:15:21Z,14,C++,1087,4781,3890
shadowsocks/shadowsocks-android,2012-12-16T13:40:29Z,2022-08-25T09:31:51Z,181,Kotlin,242,2406,2353
Kong/kong,2014-11-17T23:56:08Z,2022-08-25T14:33:24Z,122,Lua,3345,3920,3647
BurntSushi/ripgrep,2016-03-11T02:02:33Z,2022-08-25T14:35:01Z,66,Rust,437,1369,1248
wg/wrk,2012-03-20T11:12:28Z,2022-08-25T09:15:26Z,0,C,0,371,255
jgraph/drawio-desktop,2017-05-25T20:58:42Z,2022-08-25T13:22:11Z,98,Shell,17,933,781
ant-design/ant-design-pro,2017-08-25T10:40:44Z,2022-08-25T14:35:09Z,26,TypeScript,904,8638,8558
photonstorm/phaser,2013-04-12T12:27:51Z,2022-08-25T12:29:14Z,124,JavaScript,1502,3950,3788
preactjs/preact,2015-09-11T02:40:18Z,2022-08-25T13:37:26Z,173,JavaScript,1354,1548,1415
oven-sh/bun,2021-04-14T00:48:17Z,2022-08-25T14:39:02Z,53,Zig,261,692,355
gulpjs/gulp,2013-07-04T05:26:06Z,2022-08-25T08:40:01Z,22,JavaScript,395,1869,1843
zenorocha/clipboard.js,2015-09-18T23:04:55Z,2022-08-25T13:46:22Z,42,JavaScript,110,597,595
kelseyhightower/kubernetes-the-hard-way,2016-07-07T14:15:27Z,2022-08-25T13:25:50Z,0,,69,364,288
open-guides/og-aws,2016-07-13T17:30:16Z,2022-08-25T12:16:44Z,0,Shell,498,222,86
nolimits4web/swiper,2012-03-14T19:11:45Z,2022-08-25T14:28:18Z,24,JavaScript,507,4535,4313
immutable-js/immutable-js,2014-07-02T06:02:29Z,2022-08-25T09:27:43Z,62,TypeScript,445,1209,1115
vuejs/core,2018-06-12T13:49:36Z,2022-08-25T14:13:08Z,123,TypeScript,1757,3289,2827
pingcap/tidb,2015-09-06T04:01:52Z,2022-08-25T12:37:17Z,151,Go,20221,12507,9871
google/material-design-lite,2015-01-14T22:01:33Z,2022-08-25T05:25:13Z,14,HTML,655,2172,1809
excalidraw/excalidraw,2020-01-02T01:04:43Z,2022-08-25T14:00:58Z,4,TypeScript,2674,2019,1397
google-research/bert,2018-10-25T22:57:34Z,2022-08-25T14:21:32Z,0,Python,32,1113,347
brillout/awesome-react-components,2016-06-24T15:19:33Z,2022-08-25T14:32:05Z,0,,278,42,41
go-gitea/gitea,2016-11-01T02:13:26Z,2022-08-25T14:05:48Z,149,Go,9952,9468,7718
jondot/awesome-react-native,2015-03-26T19:58:06Z,2022-08-25T14:18:42Z,0,JavaScript,912,66,34
getsentry/sentry,2010-08-30T22:06:41Z,2022-08-25T12:38:03Z,92,Python,28875,5414,4974
serhii-londar/open-source-mac-os-apps,2017-11-03T02:35:33Z,2022-08-25T13:37:43Z,0,Swift,482,167,131
eugenp/tutorials,2013-04-29T18:26:36Z,2022-08-25T14:19:05Z,0,Java,8669,617,588
laurent22/joplin,2017-01-16T21:49:41Z,2022-08-25T13:10:06Z,266,TypeScript,1396,4727,4449
AobingJava/JavaFamily,2019-11-12T04:26:18Z,2022-08-25T14:08:10Z,0,,2,58,58
gorhill/uBlock,2015-04-01T17:51:11Z,2022-08-25T12:47:21Z,241,JavaScript,198,3451,3416
dylanaraps/pure-bash-bible,2018-06-13T01:39:33Z,2022-08-25T12:32:02Z,0,Shell,28,66,30
satwikkansal/wtfpython,2017-08-28T20:22:19Z,2022-08-25T13:36:31Z,2,Python,91,169,118
NervJS/taro,2018-04-08T09:32:26Z,2022-08-25T12:38:09Z,130,TypeScript,2249,8902,8083
google/styleguide,2015-05-20T19:18:59Z,2022-08-25T14:26:17Z,0,HTML,140,296,112
streamich/react-use,2018-10-27T10:16:05Z,2022-08-25T14:33:45Z,249,TypeScript,1470,499,220
nlohmann/json,2013-07-04T08:47:49Z,2022-08-25T14:32:45Z,43,C++,630,2030,2007
2dust/v2rayN,2019-07-30T03:47:24Z,2022-08-25T14:20:45Z,125,C#,57,2282,2260
dkhamsing/open-source-ios-apps,2015-01-26T23:32:34Z,2022-08-25T13:31:21Z,37,,706,240,239
nativefier/nativefier,2015-07-05T05:56:42Z,2022-08-25T14:36:05Z,91,TypeScript,250,1135,947
skylot/jadx,2013-03-18T17:08:21Z,2022-08-25T14:37:36Z,25,Java,350,1238,991
XX-net/XX-Net,2015-01-15T09:35:51Z,2022-08-25T12:46:26Z,330,Python,359,13052,5229
FFmpeg/FFmpeg,2011-04-14T14:12:38Z,2022-08-25T13:13:13Z,11,C,16,0,0
geekxh/hello-algorithm,2020-05-29T05:47:09Z,2022-08-25T13:51:30Z,0,Java,25,38,32
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,2022-08-25T06:54:02Z,116,Java,85,1468,1258
poteto/hiring-without-whiteboards,2017-03-15T05:09:01Z,2022-08-25T14:38:17Z,0,JavaScript,1103,0,0
istio/istio,2016-11-18T23:57:21Z,2022-08-25T14:22:11Z,259,Go,18874,16265,15808
xitu/gold-miner,2015-11-04T03:29:13Z,2022-08-25T03:41:46Z,0,,3502,5487,5482
SheetJS/sheetjs,2012-12-03T19:25:52Z,2022-08-25T14:13:22Z,0,JavaScript,109,2349,2228
formulahendry/955.WLB,2019-03-27T23:53:37Z,2022-08-25T11:23:40Z,0,,16,238,69
tabler/tabler,2018-02-01T09:08:59Z,2022-08-25T14:37:39Z,33,HTML,281,587,519
blueimp/jQuery-File-Upload,2010-12-01T15:35:32Z,2022-08-25T03:13:50Z,0,PHP,119,3307,3258
carbon-app/carbon,2017-06-16T02:50:28Z,2022-08-25T14:08:19Z,215,JavaScript,629,608,588
jaredpalmer/formik,2017-06-14T19:50:59Z,2022-08-25T13:03:49Z,170,TypeScript,743,2096,1491
iina/iina,2016-12-19T07:18:45Z,2022-08-25T13:10:22Z,39,Swift,412,3116,1792
Trinea/android-open-project,2014-01-05T15:20:15Z,2022-08-25T09:34:30Z,0,,201,80,68
jgraph/drawio,2016-09-06T12:59:15Z,2022-08-25T13:04:40Z,687,JavaScript,32,2562,2270
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,2022-08-25T14:24:59Z,0,,1345,122,39
unknwon/the-way-to-go_ZH_CN,2013-03-24T17:18:38Z,2022-08-25T11:21:09Z,0,Go,592,0,0
microsoft/monaco-editor,2016-06-07T16:56:31Z,2022-08-25T12:25:48Z,0,JavaScript,193,2909,2209
bilibili/ijkplayer,2013-06-03T04:12:04Z,2022-08-25T08:29:46Z,0,C,35,5213,2507
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2022-08-25T14:37:18Z,61,Python,963,3326,2691
GokuMohandas/Made-With-ML,2018-11-05T03:44:27Z,2022-08-25T14:26:21Z,0,Jupyter Notebook,140,38,37
testerSunshine/12306,2017-05-17T12:23:40Z,2022-08-25T12:28:08Z,1,Python,31,674,465
jeecgboot/jeecg-boot,2018-11-26T10:40:00Z,2022-08-25T12:37:37Z,21,Java,12,3319,3299
romkatv/powerlevel10k,2019-02-24T19:09:45Z,2022-08-25T14:30:07Z,29,Shell,112,1824,1801
shadowsocks/ShadowsocksX-NG,2016-06-10T11:49:00Z,2022-08-25T09:19:42Z,26,Swift,60,1287,1028
Dreamacro/clash,2018-06-10T14:28:14Z,2022-08-25T14:28:41Z,45,Go,240,1539,1474
google/leveldb,2014-08-27T21:17:52Z,2022-08-25T14:27:06Z,21,C++,58,684,516
alibaba/arthas,2018-08-29T17:15:57Z,2022-08-25T11:47:51Z,44,Java,402,1568,1375
LeCoupa/awesome-cheatsheets,2017-11-09T02:47:15Z,2022-08-25T13:42:27Z,0,JavaScript,156,60,41
vlang/v,2019-02-08T02:57:06Z,2022-08-25T13:37:03Z,111,V,7396,6158,5526
react-hook-form/react-hook-form,2019-03-05T23:47:10Z,2022-08-25T14:33:24Z,473,TypeScript,1664,3307,3306
ultralytics/yolov5,2020-05-18T03:45:11Z,2022-08-25T13:57:53Z,9,Python,1579,6376,6092
chubin/cheat.sh,2017-05-07T21:40:56Z,2022-08-25T14:35:44Z,0,Python,122,212,121
gto76/python-cheatsheet,2018-01-25T04:16:53Z,2022-08-25T13:37:54Z,0,Python,13,45,37
zxing/zxing,2011-10-12T14:07:27Z,2022-08-25T14:23:56Z,28,Java,207,1167,1161
mastodon/mastodon,2016-02-22T15:01:25Z,2022-08-25T11:10:39Z,170,Ruby,10045,6904,4678
netty/netty,2010-11-09T09:22:21Z,2022-08-25T12:59:31Z,0,Java,2764,5889,5374
koalaman/shellcheck,2012-11-17T03:15:11Z,2022-08-25T13:04:08Z,27,Haskell,252,2231,1458
date-fns/date-fns,2014-10-06T10:24:22Z,2022-08-25T13:20:28Z,104,TypeScript,1021,1470,1136
cli/cli,2019-10-03T15:24:53Z,2022-08-25T14:37:10Z,113,Go,1434,2917,2547
nocodb/nocodb,2017-10-29T18:51:48Z,2022-08-25T14:32:25Z,67,TypeScript,931,1340,964
metabase/metabase,2015-02-02T19:25:47Z,2022-08-25T14:28:50Z,292,Clojure,11655,11623,9520
freeCodeCamp/devdocs,2013-10-24T18:16:07Z,2022-08-25T14:19:14Z,0,Ruby,456,1017,906
TanStack/query,2019-09-10T19:23:58Z,2022-08-25T14:14:04Z,392,TypeScript,979,1016,993
vuejs/vue-cli,2015-12-26T23:11:20Z,2022-08-25T05:24:44Z,177,JavaScript,1256,5373,4514
go-gorm/gorm,2013-10-25T08:31:38Z,2022-08-25T12:39:24Z,2,Go,549,4619,4473
dotnet/aspnetcore,2014-03-11T06:09:42Z,2022-08-25T14:25:34Z,157,C#,11523,26566,24229
joshbuchea/HEAD,2016-04-20T20:05:37Z,2022-08-24T12:35:36Z,0,,86,87,73
foundation/foundation-sites,2011-10-13T23:05:42Z,2022-08-24T03:19:52Z,76,HTML,2950,8148,8126
bayandin/awesome-awesomeness,2014-07-08T05:44:19Z,2022-08-25T09:05:01Z,0,Ruby,197,62,51
jesseduffield/lazygit,2018-05-19T00:53:06Z,2022-08-25T13:21:26Z,136,Go,793,1109,768
certbot/certbot,2014-11-12T02:52:20Z,2022-08-25T07:20:14Z,32,Python,3480,5032,4493
typeorm/typeorm,2016-02-29T07:41:14Z,2022-08-25T14:12:38Z,19,TypeScript,1689,6963,5314
fxsjy/jieba,2012-09-29T07:52:01Z,2022-08-25T10:34:19Z,9,Python,96,807,212
lukehoban/es6features,2014-03-03T18:29:30Z,2022-08-25T13:01:21Z,0,,41,57,36
CSSEGISandData/COVID-19,2020-02-04T22:03:53Z,2022-08-25T05:11:10Z,0,,1699,3640,1993
ariya/phantomjs,2010-12-27T08:18:58Z,2022-08-25T14:20:39Z,0,C++,562,4742,4731
psf/black,2018-03-14T19:54:45Z,2022-08-25T10:30:56Z,21,Python,976,2020,1691
meilisearch/meilisearch,2018-04-23T11:45:28Z,2022-08-25T14:13:20Z,101,Rust,934,1065,1015
junegunn/vim-plug,2013-09-10T14:58:51Z,2022-08-25T11:32:22Z,5,Vim Script,163,947,851
rust-lang/rustlings,2015-09-15T02:25:18Z,2022-08-25T13:29:03Z,30,Rust,533,402,333
beego/beego,2012-02-29T02:32:08Z,2022-08-25T12:37:24Z,18,Go,1143,3207,3181
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,2022-08-25T14:23:49Z,0,Python,167,57,45
react-boilerplate/react-boilerplate,2015-02-18T14:36:32Z,2022-08-25T11:42:06Z,16,JavaScript,715,1880,1822
topjohnwu/Magisk,2016-09-08T12:42:53Z,2022-08-25T14:38:55Z,126,C++,1083,4429,4401
iamadamdev/bypass-paywalls-chrome,2018-04-07T20:33:19Z,2022-08-25T13:43:27Z,32,JavaScript,127,997,997
sorrycc/awesome-javascript,2014-07-01T15:59:02Z,2022-08-25T14:27:19Z,0,,359,80,78
mitmproxy/mitmproxy,2010-02-16T04:10:13Z,2022-08-25T11:20:45Z,46,Python,1902,2892,2652
pyenv/pyenv,2012-08-31T06:57:52Z,2022-08-25T12:52:21Z,59,Roff,672,1497,1463
openai/gym,2016-04-27T14:59:16Z,2022-08-25T11:55:07Z,16,Python,967,1643,1628
chakra-ui/chakra-ui,2019-08-17T14:27:54Z,2022-08-25T12:53:44Z,2352,TypeScript,1938,2750,2691
spf13/cobra,2013-09-03T20:40:26Z,2022-08-25T14:36:34Z,17,Go,473,924,822
vim/vim,2015-08-18T21:03:56Z,2022-08-25T14:38:41Z,0,Vim Script,3,6520,5357
QSCTech/zju-icicles,2016-06-28T16:17:32Z,2022-08-25T13:36:28Z,0,HTML,164,53,44
mathiasbynens/dotfiles,2011-09-05T18:07:54Z,2022-08-25T13:29:41Z,0,Shell,44,372,238
starship/starship,2019-04-02T03:23:12Z,2022-08-25T14:29:19Z,112,Rust,1964,1551,1194
markedjs/marked,2011-07-24T13:15:51Z,2022-08-25T13:45:35Z,75,JavaScript,865,1258,1208
alibaba/p3c,2017-06-23T06:15:51Z,2022-08-25T10:13:54Z,0,Kotlin,62,794,690
rust-unofficial/awesome-rust,2014-07-17T10:45:10Z,2022-08-25T13:55:51Z,0,Rust,1059,109,100
rapid7/metasploit-framework,2011-08-30T06:13:20Z,2022-08-25T14:35:21Z,0,Ruby,9328,5243,4752
dbeaver/dbeaver,2015-10-21T08:26:28Z,2022-08-25T14:29:52Z,158,Java,2739,13143,11623
shengxinjing/programmer-job-blacklist,2016-06-25T06:09:10Z,2022-08-25T05:55:31Z,0,Shell,16,326,178
rustdesk/rustdesk,2020-09-28T15:36:08Z,2022-08-25T13:53:32Z,8,Rust,307,746,453
ityouknow/spring-boot-examples,2016-11-05T05:32:33Z,2022-08-25T07:53:53Z,0,Java,7,105,97
tastejs/todomvc,2011-06-03T19:56:33Z,2022-08-25T10:28:09Z,5,JavaScript,719,761,629
jashkenas/backbone,2010-09-30T19:41:28Z,2022-08-25T13:38:28Z,0,JavaScript,858,2395,2350
mqyqingfeng/Blog,2017-03-13T10:04:33Z,2022-08-25T11:38:12Z,0,,3,300,95
codepath/android_guides,2013-06-19T10:24:45Z,2022-08-25T08:35:23Z,0,,10,372,217
acmesh-official/acme.sh,2015-12-26T12:56:33Z,2022-08-25T13:18:43Z,37,Shell,1158,2484,1734
hasura/graphql-engine,2018-06-18T07:57:36Z,2022-08-25T14:23:41Z,150,TypeScript,2109,5030,3295
atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,2022-08-25T14:34:33Z,67,JavaScript,521,1493,1002
square/leakcanary,2015-04-29T23:54:16Z,2022-08-25T13:30:06Z,30,Kotlin,828,1436,1363
aosabook/500lines,2013-11-04T02:02:53Z,2022-08-25T13:39:14Z,0,JavaScript,175,69,39
vuejs/vuex,2015-07-16T04:21:26Z,2022-08-25T09:20:06Z,51,JavaScript,653,1240,1154
laravel/framework,2013-01-10T21:27:28Z,2022-08-25T13:52:13Z,548,PHP,12791,16362,16360
caolan/async,2010-06-01T21:01:30Z,2022-08-25T08:56:21Z,7,JavaScript,478,1102,1097
kenwheeler/slick,2014-03-24T02:10:05Z,2022-08-25T08:32:57Z,48,JavaScript,236,3516,2377
ReactiveX/rxjs,2015-03-15T06:17:10Z,2022-08-25T12:15:07Z,0,TypeScript,2434,3040,2837
amix/vimrc,2012-05-29T16:19:29Z,2022-08-24T20:04:00Z,0,Vim Script,89,484,456
denysdovhan/wtfjs,2017-07-14T15:42:12Z,2022-08-25T13:35:49Z,24,JavaScript,111,101,94
typicode/husky,2014-06-23T12:14:21Z,2022-08-25T13:50:55Z,58,JavaScript,189,851,834
standard/standard,2015-01-27T01:23:31Z,2022-08-25T08:01:00Z,4,JavaScript,399,1181,1106
symfony/symfony,2010-01-04T14:21:21Z,2022-08-25T14:33:37Z,375,PHP,18858,17631,17164
naptha/tesseract.js,2015-06-24T02:49:52Z,2022-08-25T10:33:10Z,34,JavaScript,94,503,429
google/googletest,2015-07-28T15:07:53Z,2022-08-25T13:55:20Z,5,C++,731,1983,1757
airbnb/lottie-web,2015-02-20T21:02:59Z,2022-08-25T12:42:32Z,0,JavaScript,111,2634,1807
Homebrew/legacy-homebrew,2009-05-20T19:38:37Z,2022-08-25T08:54:21Z,0,,222,17034,17034
aria2/aria2,2010-11-27T09:41:48Z,2022-08-25T10:14:18Z,23,C++,206,1651,753
elsewhencode/project-guidelines,2017-06-30T10:17:55Z,2022-08-25T08:28:28Z,0,JavaScript,112,37,28
apolloconfig/apollo,2016-03-04T10:24:23Z,2022-08-25T12:37:50Z,37,Java,1228,2857,2729
ziadoz/awesome-php,2013-11-26T03:14:19Z,2022-08-25T12:00:00Z,0,,386,122,120
apache/airflow,2015-04-13T18:04:58Z,2022-08-25T09:51:47Z,52,Python,13083,5998,5297
lib-pku/libpku,2018-11-22T13:33:06Z,2022-08-25T12:06:49Z,0,TeX,22,38,30
nektos/act,2019-01-02T19:53:43Z,2022-08-25T14:27:03Z,39,Go,474,713,641
docker/compose,2013-12-09T11:40:58Z,2022-08-25T14:13:45Z,176,Go,2363,6403,6036
Asabeneh/30-Days-Of-JavaScript,2019-12-23T14:07:40Z,2022-08-25T14:30:54Z,0,JavaScript,66,58,40
composer/composer,2011-06-08T08:53:00Z,2022-08-25T11:25:29Z,166,PHP,2543,7156,7054
0xAX/linux-insides,2015-01-03T18:44:57Z,2022-08-25T10:32:33Z,0,Python,569,175,152
raywenderlich/swift-algorithm-club,2016-01-26T17:56:12Z,2022-08-25T06:57:36Z,0,Swift,608,210,181
crossoverJie/JCSprout,2017-12-17T09:06:50Z,2022-08-25T12:54:58Z,0,Java,69,89,59
webtorrent/webtorrent,2013-10-15T08:16:40Z,2022-08-25T11:02:41Z,74,JavaScript,585,1525,1417
hankcs/HanLP,2014-10-09T06:36:16Z,2022-08-25T14:20:28Z,56,Python,71,1344,1341
sequelize/sequelize,2010-07-22T07:11:11Z,2022-08-25T14:22:40Z,412,JavaScript,3426,9811,9033
postcss/postcss,2013-09-24T23:06:48Z,2022-08-25T08:56:56Z,228,TypeScript,682,884,872
niklasvh/html2canvas,2011-07-16T01:05:58Z,2022-08-25T10:59:45Z,45,TypeScript,186,2394,1629
fzaninotto/Faker,2011-10-14T22:49:02Z,2022-08-25T02:41:31Z,12,PHP,824,570,494
jashkenas/underscore,2009-10-25T18:31:06Z,2022-08-24T07:28:23Z,0,JavaScript,736,1404,1375
bannedbook/fanqiang,2015-01-14T00:34:25Z,2022-08-25T14:17:33Z,2,Kotlin,2,652,393
carbon-language/carbon-lang,2020-04-27T21:45:16Z,2022-08-25T14:03:37Z,0,C++,1224,415,266
Tencent/weui,2014-12-18T04:09:54Z,2022-08-25T12:23:49Z,34,HTML,184,654,613
houshanren/hangzhou_house_knowledge,2018-02-24T01:54:18Z,2022-08-25T02:13:37Z,0,CSS,6,0,0
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,2022-08-25T14:26:56Z,0,Java,15,144,71
layui/layui,2015-09-22T08:12:03Z,2022-08-25T12:38:23Z,60,JavaScript,111,588,580
halfrost/LeetCode-Go,2017-07-18T00:06:14Z,2022-08-25T13:58:16Z,4,Go,168,62,53
curl/curl,2010-03-18T22:32:22Z,2022-08-25T14:35:39Z,60,C,153,3436,3397
jgm/pandoc,2010-03-20T20:34:23Z,2022-08-25T13:43:09Z,112,Haskell,1335,6403,5629
IanLunn/Hover,2014-01-02T14:27:35Z,2022-08-25T11:10:14Z,10,CSS,22,104,83
