nameWithOwner,createdAt,updatedAt,releases.totalCount,primaryLanguage.name,pullRequests.totalCount,totalIssues.totalCount,closedIssues.totalCount
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2022-08-25T14:24:19Z,0,,122,0,0
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2022-08-25T14:29:51Z,0,,176,57,40
animate-css/animate.css,2011-10-12T10:07:38Z,2022-08-25T13:12:53Z,22,CSS,313,825,804
tensorflow/models,2016-02-05T01:15:20Z,2022-08-25T13:51:07Z,24,Python,2246,6957,5846
storybookjs/storybook,2016-03-18T04:23:44Z,2022-08-25T14:25:30Z,1047,TypeScript,6814,9307,7398
nvbn/thefuck,2015-04-08T15:08:04Z,2022-08-25T13:49:30Z,17,Python,474,645,444
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2022-08-25T14:27:36Z,0,JavaScript,148,129,81
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2022-08-25T13:20:08Z,0,Java,63,56,42
rust-lang/rust,2010-06-16T20:39:03Z,2022-08-25T14:33:42Z,101,Rust,42026,44871,36595
laravel/laravel,2011-06-08T03:06:08Z,2022-08-25T14:03:21Z,118,PHP,1444,0,0
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,2022-08-25T14:14:35Z,47,JavaScript,192,18485,13198
Genymobile/scrcpy,2017-11-21T18:00:27Z,2022-08-25T12:35:40Z,28,C,59,3109,2033
huggingface/transformers,2018-10-29T13:56:00Z,2022-08-25T14:15:58Z,99,Python,7065,9874,9471
gothinkster/realworld,2016-02-26T20:49:53Z,2022-08-25T14:35:57Z,0,Shell,227,505,453
vuejs/awesome-vue,2015-10-20T00:16:14Z,2022-08-25T12:45:04Z,0,,3340,205,180
django/django,2012-04-28T02:47:18Z,2022-08-25T14:02:55Z,0,Python,7585,0,0
bitcoin/bitcoin,2010-12-19T15:16:43Z,2022-08-25T14:20:18Z,37,C++,12095,7039,6580
tonsky/FiraCode,2014-11-11T19:32:38Z,2022-08-25T14:36:57Z,29,Clojure,123,1223,892
doocs/advanced-java,2018-10-06T11:38:30Z,2022-08-25T14:26:26Z,1,Java,74,133,132
moby/moby,2013-01-18T18:10:57Z,2022-08-25T10:40:32Z,107,Go,17492,21511,17480
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2022-08-25T14:11:05Z,0,Shell,403,173,157
opencv/opencv,2012-07-19T09:40:17Z,2022-08-25T14:10:59Z,58,C++,10688,9058,6913
typicode/json-server,2013-11-27T13:21:13Z,2022-08-25T14:12:13Z,10,JavaScript,100,1014,456
spring-projects/spring-boot,2012-10-19T15:02:57Z,2022-08-25T14:30:25Z,145,Java,41,26544,26021
gin-gonic/gin,2014-06-16T23:57:25Z,2022-08-25T14:22:39Z,22,Go,851,1886,1444
sveltejs/svelte,2016-11-20T18:13:05Z,2022-08-25T14:26:53Z,0,TypeScript,2393,4542,3887
webpack/webpack,2012-03-10T10:08:14Z,2022-08-25T09:49:03Z,381,JavaScript,4180,9172,8983
hakimel/reveal.js,2011-06-07T18:54:22Z,2022-08-25T08:35:54Z,38,JavaScript,365,2156,1524
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,2022-08-25T13:30:51Z,1,,172,136,132
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2022-08-25T14:14:47Z,0,,86,42,17
gohugoio/hugo,2013-07-04T15:26:26Z,2022-08-25T14:27:58Z,198,Go,1752,6093,5512
elastic/elasticsearch,2010-02-08T13:20:56Z,2022-08-25T13:28:37Z,95,Java,50661,30570,27132
macrozheng/mall,2018-04-04T01:11:44Z,2022-08-25T14:30:51Z,2,Java,0,435,411
nvm-sh/nvm,2010-04-15T17:47:47Z,2022-08-25T14:28:05Z,60,Shell,654,1789,1490
apple/swift,2015-10-23T21:15:07Z,2022-08-25T14:21:46Z,41,C++,38848,12780,7277
netdata/netdata,2013-06-17T18:39:10Z,2022-08-25T12:36:02Z,57,C,5688,6937,6767
pallets/flask,2010-04-06T11:11:59Z,2022-08-25T13:04:34Z,23,Python,1399,2384,2383
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2022-08-25T14:36:55Z,201,JavaScript,1482,2477,2466
